"","ccaa","cpro","cmun","secc","CUMUN","CUSEC","Indice"
"27732",6,39,1,1,39001,3900101001,10.4
"27733",6,39,1,2,39001,3900101002,6.7
"27734",6,39,1,3,39001,3900101003,7.8
"27735",6,39,2,1,39002,3900201001,8.9
"27736",6,39,2,2,39002,3900201002,9.4
"27737",6,39,2,3,39002,3900201003,7.5
"27738",6,39,3,1,39003,3900301001,8.6
"27739",6,39,4,1,39004,3900401001,6.6
"27740",6,39,4,2,39004,3900401002,6.9
"27741",6,39,5,1,39005,3900501001,6.6
"27742",6,39,6,1,39006,3900601001,9.8
"27743",6,39,6,2,39006,3900601002,9.3
"27744",6,39,7,1,39007,3900701001,8.1
"27745",6,39,8,1,39008,3900801001,7.6
"27746",6,39,8,2,39008,3900801002,6.7
"27747",6,39,8,3,39008,3900801003,4.7
"27748",6,39,8,4,39008,3900801004,9.5
"27749",6,39,8,5,39008,3900801005,7.5
"27750",6,39,8,6,39008,3900801006,7
"27751",6,39,8,7,39008,3900801007,7.3
"27752",6,39,8,8,39008,3900801008,5.9
"27753",6,39,8,1,39008,3900802001,11.5
"27754",6,39,8,2,39008,3900802002,8.6
"27755",6,39,8,3,39008,3900802003,6.6
"27756",6,39,8,4,39008,3900802004,7.7
"27757",6,39,9,1,39009,3900901001,11.3
"27758",6,39,9,2,39009,3900901002,7.9
"27759",6,39,9,3,39009,3900901003,11.1
"27760",6,39,10,1,39010,3901001001,8.9
"27761",6,39,11,1,39011,3901101001,9.5
"27762",6,39,12,1,39012,3901201001,9.5
"27763",6,39,12,2,39012,3901201002,11.8
"27764",6,39,12,3,39012,3901201003,10
"27765",6,39,12,4,39012,3901201004,9.3
"27766",6,39,12,1,39012,3901202001,6.3
"27767",6,39,12,2,39012,3901202002,6.5
"27768",6,39,13,1,39013,3901301001,10.6
"27769",6,39,14,1,39014,3901401001,6.5
"27770",6,39,15,1,39015,3901501001,6.6
"27771",6,39,16,1,39016,3901601001,5.7
"27772",6,39,16,2,39016,3901601002,4.7
"27773",6,39,16,3,39016,3901601003,7
"27774",6,39,16,4,39016,3901601004,5.2
"27775",6,39,16,5,39016,3901601005,4.5
"27776",6,39,16,6,39016,3901601006,5.4
"27777",6,39,16,7,39016,3901601007,5.8
"27778",6,39,16,8,39016,3901601008,3.4
"27779",6,39,16,9,39016,3901601009,10.3
"27780",6,39,16,10,39016,3901601010,4.8
"27781",6,39,16,11,39016,3901601011,8.8
"27782",6,39,16,12,39016,3901601012,8.1
"27783",6,39,16,13,39016,3901601013,5.3
"27784",6,39,16,14,39016,3901601014,10.9
"27785",6,39,16,15,39016,3901601015,7.5
"27786",6,39,16,1,39016,3901602001,7.6
"27787",6,39,16,2,39016,3901602002,7.3
"27788",6,39,16,3,39016,3901602003,9.6
"27789",6,39,16,1,39016,3901603001,6.9
"27790",6,39,16,2,39016,3901603002,5
"27791",6,39,16,3,39016,3901603003,4.7
"27792",6,39,17,1,39017,3901701001,5.9
"27793",6,39,18,1,39018,3901801001,5.8
"27794",6,39,18,2,39018,3901801002,4.1
"27795",6,39,18,3,39018,3901801003,6.5
"27796",6,39,18,4,39018,3901801004,5.9
"27797",6,39,19,1,39019,3901901001,8.098745461
"27798",6,39,20,1,39020,3902001001,5.9
"27799",6,39,20,2,39020,3902001002,8.9
"27800",6,39,20,3,39020,3902001003,7.8
"27801",6,39,20,1,39020,3902002001,7.7
"27802",6,39,20,2,39020,3902002002,11.1
"27803",6,39,20,3,39020,3902002003,9
"27804",6,39,20,4,39020,3902002004,9.2
"27805",6,39,20,5,39020,3902002005,12.1
"27806",6,39,20,6,39020,3902002006,8.7
"27807",6,39,20,7,39020,3902002007,9.7
"27808",6,39,20,8,39020,3902002008,17
"27809",6,39,20,9,39020,3902002009,10.6
"27810",6,39,20,10,39020,3902002010,12.8
"27811",6,39,20,11,39020,3902002011,9.1
"27812",6,39,20,12,39020,3902002012,11.6
"27813",6,39,20,13,39020,3902002013,10
"27814",6,39,20,1,39020,3902003001,11.3
"27815",6,39,20,2,39020,3902003002,14.8
"27816",6,39,20,3,39020,3902003003,10.1
"27817",6,39,20,4,39020,3902003004,15.4
"27818",6,39,20,5,39020,3902003005,10.1
"27819",6,39,21,1,39021,3902101001,11.5
"27820",6,39,22,1,39022,3902201001,9.3
"27821",6,39,23,1,39023,3902301001,7.8
"27822",6,39,23,2,39023,3902301002,6.1
"27823",6,39,23,3,39023,3902301003,8.313914434
"27824",6,39,23,4,39023,3902301004,10.2
"27825",6,39,24,1,39024,3902401001,8.7
"27826",6,39,24,2,39024,3902401002,6.4
"27827",6,39,25,1,39025,3902501001,9.7
"27828",6,39,25,2,39025,3902501002,7.2
"27829",6,39,25,3,39025,3902501003,12
"27830",6,39,25,4,39025,3902501004,9.3
"27831",6,39,25,5,39025,3902501005,6.5
"27832",6,39,25,6,39025,3902501006,8.3
"27833",6,39,25,7,39025,3902501007,4.9
"27834",6,39,25,8,39025,3902501008,5.9
"27835",6,39,25,1,39025,3902502001,7.6
"27836",6,39,26,1,39026,3902601001,4.8
"27837",6,39,26,2,39026,3902601002,7.1
"27838",6,39,27,1,39027,3902701001,10
"27839",6,39,27,2,39027,3902701002,6.9
"27840",6,39,27,3,39027,3902701003,8.7
"27841",6,39,27,4,39027,3902701004,10.6
"27842",6,39,28,1,39028,3902801001,6.6
"27843",6,39,28,2,39028,3902801002,8
"27844",6,39,28,3,39028,3902801003,6.3
"27845",6,39,29,1,39029,3902901001,6.3
"27846",6,39,30,1,39030,3903001001,6.7
"27847",6,39,30,2,39030,3903001002,5.9
"27848",6,39,31,1,39031,3903101001,9
"27849",6,39,32,1,39032,3903201001,4.3
"27850",6,39,32,2,39032,3903201002,3
"27851",6,39,33,1,39033,3903301001,5.4
"27852",6,39,34,1,39034,3903401001,10.6
"27853",6,39,35,1,39035,3903501001,4.5
"27854",6,39,35,2,39035,3903501002,7.6
"27855",6,39,35,3,39035,3903501003,8.7
"27856",6,39,35,1,39035,3903502001,7.9
"27857",6,39,35,2,39035,3903502002,8.9
"27858",6,39,35,3,39035,3903502003,11.3
"27859",6,39,35,4,39035,3903502004,11.4
"27860",6,39,35,5,39035,3903502005,9.4
"27861",6,39,35,1,39035,3903503001,11.6
"27862",6,39,35,2,39035,3903503002,6.7
"27863",6,39,36,1,39036,3903601001,7.4
"27864",6,39,37,1,39037,3903701001,7.2
"27865",6,39,37,2,39037,3903701002,7.8
"27866",6,39,38,1,39038,3903801001,9.7
"27867",6,39,39,1,39039,3903901001,6.9
"27868",6,39,40,1,39040,3904001001,6.5
"27869",6,39,40,2,39040,3904001002,5.5
"27870",6,39,40,3,39040,3904001003,5.4
"27871",6,39,41,1,39041,3904101001,6.7
"27872",6,39,42,1,39042,3904201001,7.3
"27873",6,39,42,2,39042,3904201002,8.9
"27874",6,39,42,3,39042,3904201003,7.5
"27875",6,39,42,1,39042,3904202001,8.9
"27876",6,39,43,1,39043,3904301001,10.5
"27877",6,39,44,1,39044,3904401001,5.9
"27878",6,39,44,2,39044,3904401002,8.3
"27879",6,39,44,3,39044,3904401003,8.9
"27880",6,39,45,1,39045,3904501001,7.3
"27881",6,39,46,1,39046,3904601001,7.5
"27882",6,39,46,2,39046,3904601002,7.5
"27883",6,39,47,1,39047,3904701001,11
"27884",6,39,47,2,39047,3904701002,13.7
"27885",6,39,48,1,39048,3904801001,6.4
"27886",6,39,48,2,39048,3904801002,3.1
"27887",6,39,49,1,39049,3904901001,9.3
"27888",6,39,50,1,39050,3905001001,6.5
"27889",6,39,51,1,39051,3905101001,6.1
"27890",6,39,52,1,39052,3905201001,9.2
"27891",6,39,52,2,39052,3905201002,5.906770481
"27892",6,39,52,3,39052,3905201003,8.858563923
"27893",6,39,52,4,39052,3905201004,7.4
"27894",6,39,52,5,39052,3905201005,4
"27895",6,39,52,1,39052,3905202001,5.877528876
"27896",6,39,52,2,39052,3905202002,7.3
"27897",6,39,52,3,39052,3905202003,5.2
"27898",6,39,52,4,39052,3905202004,4.4
"27899",6,39,52,5,39052,3905202005,4
"27900",6,39,52,6,39052,3905202006,6.2
"27901",6,39,52,7,39052,3905202007,3.9
"27902",6,39,53,1,39053,3905301001,6.5
"27903",6,39,54,1,39054,3905401001,10.4
"27904",6,39,54,2,39054,3905401002,9.4
"27905",6,39,54,3,39054,3905401003,8.2
"27906",6,39,55,1,39055,3905501001,11.3
"27907",6,39,56,1,39056,3905601001,7.9
"27908",6,39,56,2,39056,3905601002,4.8
"27909",6,39,57,1,39057,3905701001,9.8
"27910",6,39,57,2,39057,3905701002,12.8
"27911",6,39,58,1,39058,3905801001,8.5
"27912",6,39,59,1,39059,3905901001,8.2
"27913",6,39,59,2,39059,3905901002,7.1
"27914",6,39,59,3,39059,3905901003,9.1
"27915",6,39,59,4,39059,3905901004,5.5
"27916",6,39,59,5,39059,3905901005,4.4
"27917",6,39,59,1,39059,3905902001,5.1
"27918",6,39,59,2,39059,3905902002,5.3
"27919",6,39,59,3,39059,3905902003,7.4
"27920",6,39,59,4,39059,3905902004,3.1
"27921",6,39,59,5,39059,3905902005,6.6
"27922",6,39,60,1,39060,3906001001,7.5
"27923",6,39,60,2,39060,3906001002,5
"27924",6,39,60,1,39060,3906002001,6.6
"27925",6,39,60,2,39060,3906002002,7.5
"27926",6,39,60,3,39060,3906002003,9
"27927",6,39,61,1,39061,3906101001,7.6
"27928",6,39,61,2,39061,3906101002,11.4
"27929",6,39,61,3,39061,3906101003,6.4
"27930",6,39,62,1,39062,3906201001,5.2
"27931",6,39,62,2,39062,3906201002,7.2
"27932",6,39,63,1,39063,3906301001,5.6
"27933",6,39,64,1,39064,3906401001,9.8
"27934",6,39,65,1,39065,3906501001,9
"27935",6,39,66,1,39066,3906601001,5.8
"27936",6,39,67,1,39067,3906701001,8.1
"27937",6,39,68,1,39068,3906801001,7.3
"27938",6,39,69,1,39069,3906901001,8.2
"27939",6,39,69,2,39069,3906901002,5.9
"27940",6,39,70,1,39070,3907001001,6.1
"27941",6,39,71,1,39071,3907101001,6.9
"27942",6,39,72,1,39072,3907201001,14.6
"27943",6,39,73,1,39073,3907301001,5.6
"27944",6,39,73,2,39073,3907301002,9.5
"27945",6,39,73,3,39073,3907301003,7.3
"27946",6,39,73,4,39073,3907301004,9.7
"27947",6,39,73,5,39073,3907301005,7.2
"27948",6,39,73,6,39073,3907301006,5.1
"27949",6,39,73,7,39073,3907301007,2.7
"27950",6,39,74,1,39074,3907401001,3.6
"27951",6,39,74,2,39074,3907401002,5.8
"27952",6,39,74,3,39074,3907401003,9
"27953",6,39,74,4,39074,3907401004,6.3
"27954",6,39,74,5,39074,3907401005,7.8
"27955",6,39,74,6,39074,3907401006,9.2
"27956",6,39,75,1,39075,3907501001,5.2
"27957",6,39,75,2,39075,3907501002,6.1
"27958",6,39,75,3,39075,3907501003,12.1
"27959",6,39,75,4,39075,3907501004,7.1
"27960",6,39,75,5,39075,3907501005,14
"27961",6,39,75,6,39075,3907501006,2.9
"27962",6,39,75,7,39075,3907501007,13
"27963",6,39,75,8,39075,3907501008,9.7
"27964",6,39,75,9,39075,3907501009,10.2
"27965",6,39,75,10,39075,3907501010,5.4
"27966",6,39,75,11,39075,3907501011,10.2
"27967",6,39,75,1,39075,3907502001,9.1
"27968",6,39,75,2,39075,3907502002,9.5
"27969",6,39,75,3,39075,3907502003,10.4
"27970",6,39,75,4,39075,3907502004,7.1
"27971",6,39,75,5,39075,3907502005,11.6
"27972",6,39,75,6,39075,3907502006,12
"27973",6,39,75,7,39075,3907502007,9.7
"27974",6,39,75,8,39075,3907502008,7.2
"27975",6,39,75,9,39075,3907502009,11.4
"27976",6,39,75,10,39075,3907502010,8.4
"27977",6,39,75,11,39075,3907502011,11.1
"27978",6,39,75,12,39075,3907502012,5.9
"27979",6,39,75,13,39075,3907502013,3.5
"27980",6,39,75,14,39075,3907502014,4.7
"27981",6,39,75,15,39075,3907502015,4.8
"27982",6,39,75,16,39075,3907502016,4.2
"27983",6,39,75,17,39075,3907502017,6.6
"27984",6,39,75,18,39075,3907502018,5.2
"27985",6,39,75,19,39075,3907502019,11
"27986",6,39,75,20,39075,3907502020,5.3
"27987",6,39,75,21,39075,3907502021,6.2
"27988",6,39,75,22,39075,3907502022,5.8
"27989",6,39,75,23,39075,3907502023,4.6
"27990",6,39,75,24,39075,3907502024,14.2
"27991",6,39,75,25,39075,3907502025,4.3
"27992",6,39,75,26,39075,3907502026,4.6
"27993",6,39,75,27,39075,3907502027,7.7
"27994",6,39,75,1,39075,3907503001,7.4
"27995",6,39,75,2,39075,3907503002,5.7
"27996",6,39,75,3,39075,3907503003,17.2
"27997",6,39,75,4,39075,3907503004,8.2
"27998",6,39,75,5,39075,3907503005,8.3
"27999",6,39,75,6,39075,3907503006,5.9
"28000",6,39,75,7,39075,3907503007,12
"28001",6,39,75,8,39075,3907503008,9.6
"28002",6,39,75,9,39075,3907503009,6.2
"28003",6,39,75,10,39075,3907503010,5.9
"28004",6,39,75,11,39075,3907503011,7.7
"28005",6,39,75,12,39075,3907503012,7.7
"28006",6,39,75,13,39075,3907503013,10
"28007",6,39,75,14,39075,3907503014,10.2
"28008",6,39,75,15,39075,3907503015,10.6
"28009",6,39,75,1,39075,3907504001,10.8
"28010",6,39,75,2,39075,3907504002,10.1
"28011",6,39,75,3,39075,3907504003,9.8
"28012",6,39,75,4,39075,3907504004,13
"28013",6,39,75,5,39075,3907504005,15
"28014",6,39,75,6,39075,3907504006,6.9
"28015",6,39,75,7,39075,3907504007,15.2
"28016",6,39,75,8,39075,3907504008,8.4
"28017",6,39,75,9,39075,3907504009,8.5
"28018",6,39,75,10,39075,3907504010,7.8
"28019",6,39,75,11,39075,3907504011,9.4
"28020",6,39,75,12,39075,3907504012,10.3
"28021",6,39,75,13,39075,3907504013,17.6
"28022",6,39,75,14,39075,3907504014,8.4
"28023",6,39,75,1,39075,3907505001,5.9
"28024",6,39,75,2,39075,3907505002,7.8
"28025",6,39,75,3,39075,3907505003,9.8
"28026",6,39,75,4,39075,3907505004,8.8
"28027",6,39,75,5,39075,3907505005,8
"28028",6,39,75,6,39075,3907505006,8
"28029",6,39,75,7,39075,3907505007,14
"28030",6,39,75,8,39075,3907505008,6.9
"28031",6,39,75,9,39075,3907505009,7.7
"28032",6,39,75,10,39075,3907505010,11.9
"28033",6,39,75,11,39075,3907505011,5.4
"28034",6,39,75,12,39075,3907505012,19.5
"28035",6,39,75,13,39075,3907505013,11.7
"28036",6,39,75,14,39075,3907505014,5
"28037",6,39,75,15,39075,3907505015,3.9
"28038",6,39,75,1,39075,3907506001,12.3
"28039",6,39,75,2,39075,3907506002,7.1
"28040",6,39,75,3,39075,3907506003,10.7
"28041",6,39,75,4,39075,3907506004,11.2
"28042",6,39,75,5,39075,3907506005,4.7
"28043",6,39,75,6,39075,3907506006,4.9
"28044",6,39,75,7,39075,3907506007,15.3
"28045",6,39,75,8,39075,3907506008,7.3
"28046",6,39,75,9,39075,3907506009,5.3
"28047",6,39,75,10,39075,3907506010,9.4
"28048",6,39,75,11,39075,3907506011,4.1
"28049",6,39,75,12,39075,3907506012,8.1
"28050",6,39,75,13,39075,3907506013,8
"28051",6,39,75,14,39075,3907506014,16.8
"28052",6,39,75,1,39075,3907507001,10.4
"28053",6,39,75,2,39075,3907507002,10.3
"28054",6,39,75,3,39075,3907507003,5.4
"28055",6,39,75,4,39075,3907507004,7.4
"28056",6,39,75,5,39075,3907507005,15.4
"28057",6,39,75,6,39075,3907507006,9.1
"28058",6,39,75,7,39075,3907507007,13.7
"28059",6,39,75,8,39075,3907507008,5.4
"28060",6,39,75,9,39075,3907507009,10.1
"28061",6,39,75,10,39075,3907507010,14.7
"28062",6,39,75,11,39075,3907507011,7.4
"28063",6,39,75,12,39075,3907507012,9.6
"28064",6,39,75,13,39075,3907507013,12.3
"28065",6,39,75,14,39075,3907507014,10.7
"28066",6,39,75,15,39075,3907507015,11.1
"28067",6,39,75,16,39075,3907507016,9.1
"28068",6,39,75,17,39075,3907507017,5.4
"28069",6,39,75,18,39075,3907507018,10.2
"28070",6,39,75,19,39075,3907507019,11.7
"28071",6,39,75,20,39075,3907507020,15.7
"28072",6,39,75,21,39075,3907507021,9.7
"28073",6,39,75,22,39075,3907507022,15.2
"28074",6,39,75,23,39075,3907507023,15.9
"28075",6,39,75,1,39075,3907508001,9.565355749
"28076",6,39,75,2,39075,3907508002,15.1
"28077",6,39,75,3,39075,3907508003,12.8
"28078",6,39,75,4,39075,3907508004,10.1
"28079",6,39,75,5,39075,3907508005,4.8
"28080",6,39,75,6,39075,3907508006,6.9
"28081",6,39,75,7,39075,3907508007,8.9
"28082",6,39,75,8,39075,3907508008,4.6
"28083",6,39,75,9,39075,3907508009,14.2
"28084",6,39,75,10,39075,3907508010,6.7
"28085",6,39,75,11,39075,3907508011,11
"28086",6,39,75,12,39075,3907508012,14.4
"28087",6,39,75,13,39075,3907508013,9
"28088",6,39,75,14,39075,3907508014,6.3
"28089",6,39,75,15,39075,3907508015,4.2
"28090",6,39,75,16,39075,3907508016,3.6
"28091",6,39,75,17,39075,3907508017,12.9
"28092",6,39,75,18,39075,3907508018,10.3
"28093",6,39,75,19,39075,3907508019,10.5
"28094",6,39,75,20,39075,3907508020,4.3
"28095",6,39,75,21,39075,3907508021,7.9
"28096",6,39,75,22,39075,3907508022,14.1
"28097",6,39,75,23,39075,3907508023,11.4
"28098",6,39,75,24,39075,3907508024,9.2
"28099",6,39,75,25,39075,3907508025,7.3
"28100",6,39,75,26,39075,3907508026,4.7
"28101",6,39,75,27,39075,3907508027,1.4
"28102",6,39,75,28,39075,3907508028,23.5
"28103",6,39,76,1,39076,3907601001,4.8
"28104",6,39,76,2,39076,3907601002,8.9
"28105",6,39,77,1,39077,3907701001,6.1
"28106",6,39,78,1,39078,3907801001,8.4
"28107",6,39,79,1,39079,3907901001,5.6
"28108",6,39,79,2,39079,3907901002,4.9
"28109",6,39,79,3,39079,3907901003,6.3
"28110",6,39,79,4,39079,3907901004,6.3
"28111",6,39,79,1,39079,3907902001,8.5
"28112",6,39,79,2,39079,3907902002,6.2
"28113",6,39,79,3,39079,3907902003,8.6
"28114",6,39,80,1,39080,3908001001,10.3
"28115",6,39,80,2,39080,3908001002,11
"28116",6,39,80,3,39080,3908001003,14.7
"28117",6,39,80,4,39080,3908001004,6.8
"28118",6,39,81,1,39081,3908101001,8.2
"28119",6,39,82,1,39082,3908201001,7.6
"28120",6,39,83,1,39083,3908301001,14.6
"28121",6,39,84,1,39084,3908401001,9.1
"28122",6,39,85,1,39085,3908501001,7.1
"28123",6,39,85,2,39085,3908501002,6.4
"28124",6,39,85,3,39085,3908501003,11.7
"28125",6,39,85,1,39085,3908502001,8.1
"28126",6,39,85,2,39085,3908502002,10
"28127",6,39,86,1,39086,3908601001,6.5
"28128",6,39,87,1,39087,3908701001,19.4
"28129",6,39,87,2,39087,3908701002,17.9
"28130",6,39,87,3,39087,3908701003,8.5
"28131",6,39,87,4,39087,3908701004,14.6
"28132",6,39,87,5,39087,3908701005,10
"28133",6,39,87,6,39087,3908701006,14.3
"28134",6,39,87,7,39087,3908701007,9
"28135",6,39,87,8,39087,3908701008,9
"28136",6,39,87,9,39087,3908701009,11.7
"28137",6,39,87,10,39087,3908701010,8.4
"28138",6,39,87,11,39087,3908701011,9.4
"28139",6,39,87,12,39087,3908701012,5.1
"28140",6,39,87,13,39087,3908701013,19.8
"28141",6,39,87,14,39087,3908701014,11.4
"28142",6,39,87,1,39087,3908702001,12.7
"28143",6,39,87,2,39087,3908702002,14.3
"28144",6,39,87,3,39087,3908702003,8.9
"28145",6,39,87,4,39087,3908702004,20.7
"28146",6,39,87,5,39087,3908702005,20.8
"28147",6,39,87,6,39087,3908702006,6.1
"28148",6,39,87,7,39087,3908702007,8
"28149",6,39,87,8,39087,3908702008,8.2
"28150",6,39,87,9,39087,3908702009,3.1
"28151",6,39,87,1,39087,3908703001,7.7
"28152",6,39,87,2,39087,3908703002,15.2
"28153",6,39,87,3,39087,3908703003,7.3
"28154",6,39,87,4,39087,3908703004,8.8
"28155",6,39,87,5,39087,3908703005,8.1
"28156",6,39,87,6,39087,3908703006,11.6
"28157",6,39,87,7,39087,3908703007,5.9
"28158",6,39,87,8,39087,3908703008,5.3
"28159",6,39,87,9,39087,3908703009,8.3
"28160",6,39,87,10,39087,3908703010,8.8
"28161",6,39,87,11,39087,3908703011,11.7
"28162",6,39,87,12,39087,3908703012,10.8
"28163",6,39,87,1,39087,3908704001,9.3
"28164",6,39,87,2,39087,3908704002,8.8
"28165",6,39,87,3,39087,3908704003,9.1
"28166",6,39,87,4,39087,3908704004,9.5
"28167",6,39,87,5,39087,3908704005,12.7
"28168",6,39,87,6,39087,3908704006,7.1
"28169",6,39,87,7,39087,3908704007,6.4
"28170",6,39,87,8,39087,3908704008,10.5
"28171",6,39,87,9,39087,3908704009,13.1
"28172",6,39,87,1,39087,3908705001,10.2
"28173",6,39,87,2,39087,3908705002,7.7
"28174",6,39,87,3,39087,3908705003,13.9
"28175",6,39,88,1,39088,3908801001,9.3
"28176",6,39,89,1,39089,3908901001,5.6
"28177",6,39,90,1,39090,3909001001,8.4
"28178",6,39,91,1,39091,3909101001,5.3
"28179",6,39,91,2,39091,3909101002,12.3
"28180",6,39,91,3,39091,3909101003,5.8
"28181",6,39,92,1,39092,3909201001,9.7
"28182",6,39,93,1,39093,3909301001,9
"28183",6,39,94,1,39094,3909401001,5.7
"28184",6,39,95,1,39095,3909501001,6.6
"28185",6,39,95,2,39095,3909501002,6.6
"28186",6,39,96,1,39096,3909601001,6.6
"28187",6,39,97,1,39097,3909701001,7
"28188",6,39,98,1,39098,3909801001,6.5
"28189",6,39,99,1,39099,3909901001,7.6
"28190",6,39,99,2,39099,3909901002,6
"28191",6,39,100,1,39100,3910001001,6.5
"28192",6,39,101,1,39101,3910101001,9.2
"28193",6,39,102,1,39102,3910201001,5.3
"28194",6,39,102,2,39102,3910201002,7.5
